method,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
ADAWU-IDS,5,0.8078395923721118,0.004078745033954497,0.003575177654254281,0.8370158961053162,0.00478239188656498,0.004191951314533881,,0.0,0.0
Static MLP,5,0.8512583199727931,0.009692378659185853,0.00849574447787827,0.8466659713249417,0.010835113439178201,0.009497395676018204,0.8430373776513342,0.011334228234819953,0.009934889083777506
DWM,5,0.8951683428071711,0.011525539312701396,0.010102580637174237,0.8941334887185558,0.011826150487739075,0.010366077949868931,0.8923849392865177,0.012106207074968903,0.010611558371973188
Online Bagging,5,0.8920395471991449,0.00243559678152326,0.0021348947079521596,0.8911713435497143,0.0024934754545610934,0.0021856276017173104,0.8894640930298614,0.002551945071535164,0.0022368784806808904
Leveraging Bagging,5,0.889484040227372,0.0017865484676307403,0.0015659787769384038,0.8886006340160097,0.0018318244466162866,0.001605664922308141,0.8868555855182603,0.0018761897690799418,0.001644552842042134
